Type,Round,Player,Team,Opponent,Position,Travel Fatigue,Weather,DvP,Line,Avg vs Line,Line Consistency,Bet Priority,Bet Tier,Bet Flag,Actual,W/L
Mark,15,Tim Membrey,COL,STK,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-6%,64%,,,,4,1
Disposal,15,Cam Rayner,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,15,-1%,64%,,,,19,-1
Disposal,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,-5%,54%,,,,13,-1
Mark,15,Connor Idun,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,3%,50%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),10,-1
Disposal,15,Charlie Cameron,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,8.5,10%,50%,,,,10,-1
Mark,15,Logan Morris,BRL,GEE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4,-2%,69%,,,,8,-1
Mark,15,Tom Lynch,RIC,WBD,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,4.5,-1%,55%,,,,5,-1
Disposal,15,Darcy Wilmot,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,10%,50%,,,,16,1
Mark,15,Harry Himmelberg,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,17%,38%,,,,1,1
Mark,15,Peter Wright,ESS,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,21%,33%,,,,5,-1
Disposal,15,Levi Ashcroft,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,17.5,15%,29%,,,,23,-1
Disposal,15,Will Ashcroft,BRL,GEE,Unknown,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,26.5,2%,50%,,,,28,-1
Disposal,15,Jack Steele,STK,COL,InsM,✅ Neutral,✅ Neutral,✅ Neutral,22,0%,0%,,,,19,1
Mark,15,Dayne Zorko,BRL,GEE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,7,1%,50%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,0
Mark,15,Sam Banks,RIC,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-29%,75%,,,,1,1
Disposal,15,Kai Lohmann,BRL,GEE,GenF,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10.5,-28%,67%,,,🤔 CONSIDER #6 - Long Travel + Disposal (Need: ≤-10% Avg vs Line),13,-1
Mark,15,Mark O'Connor,GEE,BRL,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6,1%,64%,,,,3,1
Mark,15,Jarrod Berry,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,0%,58%,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),10,-1
Mark,15,Charlie Curnow,CAR,NTH,KeyF,✅ Neutral,✅ Neutral,🔵 Strong Easy,6.5,-10%,50%,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),3,1
Mark,15,Connor Rozee,PTA,SYD,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-11%,62%,,,,4,1
Disposal,15,Harris Andrews,BRL,GEE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,12.5,5%,43%,,,,16,-1
Mark,15,Jeremy Howe,COL,STK,GenD,✅ Neutral,✅ Neutral,✅ Neutral,6,-20%,64%,,,,5,1
Disposal,15,Darcy Fort,BRL,GEE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,0%,63%,,,,8,1
Mark,15,Jack Sinclair,STK,COL,GenD,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-11%,62%,,,,3,1
Mark,15,Sam Docherty,CAR,NTH,Wing,✅ Neutral,✅ Neutral,✅ Neutral,5.5,-5%,67%,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),16,-1
Mark,15,Bailey Williams,WBD,RIC,Wing,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,0%,0%,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),15,-1
Mark,15,Cooper Sharman,STK,COL,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5.5,7%,46%,,,🟢 AUTO-BET 🥇#1 - KeyF + Mark (Need: Lines >5.0),2,1
Mark,15,Oliver Hollands,CAR,NTH,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,12%,53%,,,,5,0
Mark,15,Xavier Duursma,ESS,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4.5,18%,46%,,,,3,1
Mark,15,Lachie Ash,GWS,GCS,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,6.5,6%,50%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),4,1
Mark,15,Josh Daicos,COL,STK,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-15%,75%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),6,1
Mark,15,Nic Martin,ESS,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,7,10%,46%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,0
Mark,15,Bailey Dale,WBD,RIC,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-29%,85%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),7,-1
Mark,15,Nick Haynes,CAR,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,8,10%,46%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),11,-1
Mark,15,Luke Ryan,FRE,ESS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6.5,-7%,62%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),12,-1
Mark,15,Jordan Clark,FRE,ESS,GenD,✅ Neutral,✅ Neutral,🔷 Moderate Easy,6,-10%,92%,,,🟢 AUTO-BET 🥉#3 - GenD + Mark (Need: Lines >6.0),8,-1
Mark,15,Jaspa Fletcher,BRL,GEE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,5.5,10%,43%,,,🟢 AUTO-BET 🏅#4 - Wing + Mark (Need: Line vs Avg <20% + Line >4.5),4,1
Mark,16,Oliver Hollands,CAR,PTA,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,11%,57%,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),2,1
Disposal,16,Clay Hall,WCE,COL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15,-10%,75%,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),22,-1
Disposal,16,Daniel Turner,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14,-15%,64%,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),12,1
Disposal,16,Tyler Brockman,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,15,-13%,55%,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),10,1
Disposal,16,Dan Butler,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,-12%,67%,,,🥈 TIER 2 #4 - Long Travel + Disposal (77.8% WR) (Need: <-10% Avg vs Line),6,1
Tackle,16,Elijah Hewett,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,4.5,16%,40%,,,🥈 TIER 2 #5 - Strong DvP + Tackle (73.7% WR),1,1
Tackle,16,Jack Graham,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,11%,46%,,,🥈 TIER 2 #5 - Strong DvP + Tackle (73.7% WR),8,-1
Tackle,16,Marcus Windhager,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4,-18%,86%,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),3,1
Tackle,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,8%,58%,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),4,1
Tackle,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,7,11%,62%,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),9,-1
Tackle,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,33%,40%,,,🥈 TIER 2 #8 - Long Travel + InsM + Tackle (70.0% WR),5,-1
Mark,16,Karl Amon,HAW,NTH,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,3.5,27%,46%,,,,4,-1
Mark,16,Joel Freijah,WBD,SYD,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,3.5,0%,50%,,,,7,-1
Disposal,16,Callum Wilkie,STK,FRE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,20.5,-2%,57%,,,,16,1
Mark,16,Darcy Fogarty,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,✅ Neutral,5,-5%,62%,,,,3,1
Disposal,16,Jack Macrae,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,26.5,4%,42%,,,,26,1
Disposal,16,Jack Sinclair,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,26.5,1%,64%,,,,22,1
Disposal,16,Nasiah Wanganeen-Milera,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,28.5,2%,43%,,,,28,1
Mark,16,Josh Treacy,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4.5,16%,43%,,,,4,1
Mark,16,Patrick Voss,FRE,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,3,0%,70%,,,,2,1
Disposal,16,Clayton Oliver,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25,2%,54%,,,,24,1
Disposal,16,Tom Sparrow,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,13,-1%,57%,,,,10,1
Disposal,16,Judd McVee,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,16,-3%,54%,,,,12,1
Disposal,16,Christian Petracca,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,25.5,-1%,43%,,,,32,-1
Disposal,16,Kysaiah Pickett,MEL,GCS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,17.5,7%,46%,,,,25,-1
Disposal,16,Harvey Langford,MEL,GCS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,-1%,31%,,,,19,-1
Disposal,16,Jake Melksham,MEL,GCS,GenF,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,9.5,1%,55%,,,,18,-1
Disposal,16,Christian Salem,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,19,12%,43%,,,,22,-1
Disposal,16,Jake Bowey,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21.5,5%,43%,,,,25,-1
Disposal,16,Trent Rivers,MEL,GCS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21,-2%,34%,,,,27,-1
Mark,16,Nick Larkey,NTH,HAW,KeyF,✅ Neutral,✅ Neutral,🔴 Strong Unders,3.5,16%,50%,,,,7,-1
Mark,16,Mitch Georgiades,PTA,CAR,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,15%,54%,,,,6,-1
Mark,16,Tom Lynch,RIC,ADE,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,0%,50%,,,,1,1
Disposal,16,Cooper Sharman,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,2%,42%,,,,10,1
Disposal,16,Jack Higgins,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9.5,-1%,43%,,,,15,-1
Disposal,16,Jack Steele,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,20.5,6%,50%,,,,22,-1
Disposal,16,Marcus Windhager,STK,FRE,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,18.5,8%,28%,,,,21,-1
Disposal,16,Max Hall,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13.5,-3%,50%,,,,21,-1
Disposal,16,Mitch Owens,STK,FRE,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,12.5,8%,43%,,,,14,-1
Disposal,16,Hunter Clark,STK,FRE,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,17.5,-17%,66%,,,,16,1
Mark,16,Hayden McLean,SYD,WBD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,-16%,73%,,,,4,0
Mark,16,Aaron Naughton,WBD,SYD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,4,16%,50%,,,,12,-1
Disposal,16,Elijah Hewett,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,-8%,67%,,,,16,1
Disposal,16,Harley Reid,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,18.5,-4%,64%,,,,17,1
Disposal,16,Jamie Cripps,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11,3%,42%,,,,7,1
Disposal,16,Tim Kelly,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,15,8%,55%,,,,12,1
Disposal,16,Jack Graham,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,19,2%,54%,,,,19,0
Disposal,16,Brady Hough,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,15.5,-7%,70%,,,,27,-1
Disposal,16,Jack Williams,WCE,COL,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,9,2%,55%,,,,11,-1
Disposal,16,Liam Baker,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21,7%,36%,,,,35,-1
Disposal,16,Liam Duggan,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,20,4%,64%,,,,27,-1
Disposal,16,Liam Ryan,WCE,COL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,2%,58%,,,,12,-1
Disposal,16,Reuben Ginbey,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,11.5,12%,64%,,,,15,-1
Disposal,16,Ryan Maric,WCE,COL,GenD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17.5,20%,21%,,,,21,-1
Disposal,16,Tom McCarthy,WCE,COL,InsM,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,24.5,0%,27%,,,,29,-1
Mark,16,Cooper Sharman,STK,FRE,KeyF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,5.5,0%,57%,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4,1
Disposal,16,Anthony Caminiti,STK,FRE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,13.5,1%,57%,,,,14,-1
Disposal,16,Sandy Brock,WCE,COL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,10.5,-1%,50%,,,,13,-1
Disposal,16,Rowan Marshall,STK,FRE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,3%,50%,,,,22,-1
Mark,16,Jack Gunston,HAW,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,5.5,4%,45%,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),4,1
Mark,16,Bailey Williams,WBD,SYD,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,7,13%,38%,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),7,0
Mark,16,Dylan Stephens,NTH,HAW,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,0%,54%,,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),1,1
Mark,16,Mason Wood,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,6.5,-4%,50%,#2,,🥇 TIER 1 #3 - Wing + Mark (84.6% WR) (Need: Line vs Avg <-20% + Line >4.5),4,1
Mark,16,Blake Acres,CAR,PTA,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,0%,50%,,,,0,1
Disposal,16,Kade Chandler,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,13,14%,50%,,,,11,1
Disposal,16,Xavier Lindsay,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,14.5,2%,46%,,,,12,1
Disposal,16,Ed Langdon,MEL,GCS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,18,13%,43%,,,,11,1
Mark,16,Travis Boak,PTA,CAR,Wing,✅ Neutral,✅ Neutral,🔷 Moderate Easy,4,10%,57%,,,,3,1
Disposal,16,Darcy Wilson,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,17,-2%,58%,,,,12,1
Disposal,16,Mason Wood,STK,FRE,Wing,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,15.5,-2%,50%,,,,15,1
Disposal,16,Jayden Hunt,WCE,COL,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,13.5,-3%,50%,,,,1,1
Disposal,16,Matt Flynn,WCE,COL,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12.5,7%,40%,,,,15,-1
Mark,16,Sam Darcy,WBD,SYD,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,7.5,-3%,25%,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),2,1
Mark,16,Riley Thilthorpe,ADE,RIC,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-5%,57%,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),6,-1
Mark,16,Charlie Curnow,CAR,PTA,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,4%,54%,,,🥇 TIER 1 #1 - KeyF + Mark (90.9% WR) (Need: Lines >5.0),6,-1
Mark,17,Peter Wright,ESS,GCS,KeyF,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-2%,60%,1,🥇,KeyF + Mark + Line >5.0,1,1
Mark,17,Harris Andrews,BRL,PTA,KeyD,✅ Neutral,✅ Neutral,✅ Neutral,7,5%,53%,,,,10,-1
Disposal,17,Brennan Cox,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,12,-4%,53%,,,,6,1
Disposal,17,Heath Chapman,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15.5,-10%,71%,,,,13,1
Disposal,17,Jordan Clark,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,26,-4%,67%,,,,13,1
Mark,17,Liam Duggan,WCE,GWS,GenD,✅ Neutral,✅ Neutral,🔴 Strong Unders,5,0%,73%,9,🥉,GenD + Mark + Strong DvP,8,-1
Disposal,17,Sean Darcy,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,10.5,-25%,86%,,,,10,1
Disposal,17,Leek Aleer,GWS,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,10,-30%,80%,8,🥉,Long Travel + Avg ≤-10%,9,1
Disposal,17,Kieran Briggs,GWS,WCE,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔵 Strong Easy,12.5,-17%,73%,8,🥉,Long Travel + Avg ≤-10%,10,1
Disposal,17,Luke Ryan,FRE,SYD,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,22,-3%,60%,,,,21,1
Mark,17,Dayne Zorko,BRL,PTA,GenD,✅ Neutral,✅ Neutral,🟠 Moderate Unders,7,1%,53%,7,🥉,,5,1
Disposal,17,Esava Ratugolea,PTA,BRL,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,13,-9%,75%,,,,0,1
Mark,17,Wil Powell,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,-8%,93%,7,🥉,GenD + Mark + Avg <2%,5,1
Disposal,17,Mac Andrew,GCS,ESS,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,12.5,-3%,46%,,,,42,1
Disposal,17,Jack Buckley,GWS,WCE,KeyD,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,13,-4%,60%,,,,12,1
Mark,17,Riley Thilthorpe,ADE,MEL,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,-4%,50%,1,🥇,KeyF + Mark + Line >5.0,5,1
Disposal,17,Luke Jackson,FRE,SYD,Ruck,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18,1%,50%,,,,13,1
Mark,17,Sam Banks,RIC,GEE,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,-18%,71%,3,🥇,Des + Mark + Avg <-10%,6,-1
Mark,17,Brennan Cox,FRE,SYD,KeyD,🟠 Moderate (Long Travel),✅ Neutral,🔴 Strong Unders,5,5%,53%,,,,2,1
Mark,17,Xavier Duursma,ESS,GCS,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,4.5,14%,50%,,,,5,-1
Disposal,17,Nathan O'Driscoll,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,18.5,-15%,67%,8,🥉,Long Travel + Avg ≤-10%,26,-1
Disposal,17,Laitham Vandermeer,WBD,NTH,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,12,-6%,62%,,,,17,-1
Disposal,17,Matthew Johnson,FRE,SYD,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,17.5,8%,40%,,,,20,-1
Mark,17,Blake Acres,CAR,COL,Wing,✅ Neutral,✅ Neutral,🟡 Slight Unders,5,-17%,77%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,7,-1
Mark,17,Jarrod Berry,BRL,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,6.5,-6%,57%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,7,-1
Disposal,17,Hugh Jackson,PTA,BRL,GenF,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,14,-27%,75%,8,🥉,Long Travel + Avg ≤-10%,12,1
Disposal,17,Brayden Fiorini,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,19.5,0%,71%,,,,20,-1
Disposal,17,Lachie Weller,GCS,ESS,Wing,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,15,-7%,67%,,,,17,-1
Mark,17,Jaspa Fletcher,BRL,PTA,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5.5,8%,47%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,8,-1
Mark,17,Harry Morrison,HAW,STK,Wing,✅ Neutral,✅ Neutral,🔹 Slight Easy,5,-7%,73%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,8,-1
Mark,17,Errol Gulden,SYD,FRE,Wing,✅ Neutral,✅ Neutral,🟠 Moderate Unders,5,5%,58%,6,🥉,Wing + Mark + Avg <20% + Line >4.5,7,-1
Disposal,17,Miles Bergman,PTA,BRL,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟡 Slight Unders,21.5,-13%,53%,8,🥉,Long Travel + Avg ≤-10%,17,1
Tackle,17,Josh Kelly,GWS,WCE,Wing,🟠 Moderate (Long Travel),✅ Neutral,✅ Neutral,4,16%,36%,,,,5,-1
Mark,17,Jack Gunston,HAW,STK,KeyF,✅ Neutral,✅ Neutral,🔹 Slight Easy,5.5,2%,50%,1,🥇,KeyF + Mark + Line >5.0,5,1
Mark,17,Sam Darcy,WBD,NTH,KeyF,✅ Neutral,✅ Neutral,🔷 Moderate Easy,7.5,-11%,33%,1,🥇,KeyF + Mark + Line >5.0,6,1
Disposal,17,Lachlan McNeil,WBD,NTH,GenF,✅ Neutral,✅ Neutral,🟡 Slight Unders,12.5,-13%,57%,,,,0,1
Mark,17,Jack Williams,WCE,GWS,KeyF,✅ Neutral,✅ Neutral,🟠 Moderate Unders,4.5,-11%,50%,2,🥇,,0,1
Mark,17,Daniel Rioli,GCS,ESS,GenD,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,5,-23%,86%,3,🥇,Des + Mark + Avg <-10%,3,1
Mark,17,Bailey Dale,WBD,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,5.5,-13%,73%,3,🥇,Des + Mark + Avg <-10%,2,1
Tackle,17,Andrew Brayshaw,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,6,11%,47%,,,,3,1
Tackle,17,Caleb Serong,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔹 Slight Easy,4.5,5%,66%,,,,3,1
Disposal,17,Andrew Brayshaw,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,28.5,-1%,33%,4,🥈,Disposal + Neutral Weather + Line >27,24,1
Disposal,17,Caleb Serong,FRE,SYD,InsM,🟠 Moderate (Long Travel),✅ Neutral,🟠 Moderate Unders,27.5,-4%,47%,4,🥈,Disposal + Neutral Weather + Line >27,11,1
Disposal,17,Jye Caldwell,ESS,GCS,InsM,✅ Neutral,✅ Neutral,🔷 Moderate Easy,27.5,-2%,50%,4,🥈,Disposal + Neutral Weather + Line >27,15,1
Disposal,17,Noah Anderson,GCS,ESS,InsM,🟠 Moderate (Long Travel),✅ Neutral,🔷 Moderate Easy,30.5,0%,50%,4,🥈,Disposal + Neutral Weather + Line >27,30,1
Disposal,17,Harry Sheezel,NTH,WBD,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,26.5,5%,27%,4,🥈,Disposal + Neutral Weather + Line >27,22,1
Disposal,17,Bailey Dale,WBD,NTH,GenD,✅ Neutral,✅ Neutral,🟡 Slight Unders,28,1%,47%,4,🥈,Disposal + Neutral Weather + Line >27,13,1
